Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-MAR-2026,23868.05,24078.15,23697.8,24028.05,526901605,40569.31
06-MAR-2026,24656.4,24700.8,24415.75,24450.45,433408256,35453.32
05-MAR-2026,24615.95,24854.2,24529.4,24765.9,504339053,40011.88
04-MAR-2026,24388.8,24602.45,24305.4,24480.5,598993881,47700.19
02-MAR-2026,24659.25,24989.35,24603.5,24865.7,519228821,41306.37
27-FEB-2026,25459.85,25476.4,25141.3,25178.65,438924282,38634.68
26-FEB-2026,25556.3,25572.95,25400.95,25496.55,405219244,33155.5
25-FEB-2026,25512.6,25652.6,25428.2,25482.5,414215742,31084.17
24-FEB-2026,25641.8,25641.8,25327.6,25424.65,439068188,36735.38
23-FEB-2026,25678.4,25771.45,25609.35,25713,399135843,25494.64
20-FEB-2026,25406.55,25663.55,25379.75,25571.25,309373691,24024.7
19-FEB-2026,25873.35,25885.3,25388.75,25454.35,333658812,24756.87
18-FEB-2026,25752.65,25828.05,25645.15,25819.35,400807585,22228.22
17-FEB-2026,25637.95,25764.4,25570.3,25725.4,378436265,27818.81
16-FEB-2026,25423.6,25697,25372.7,25682.75,325487729,22205.92
13-FEB-2026,25571.15,25630.35,25444.3,25471.1,453523192,40137.15
12-FEB-2026,25906.7,25906.7,25752.4,25807.2,419388014,38977.68
11-FEB-2026,25997.45,26009.4,25899.8,25953.85,331389240,31456.05
10-FEB-2026,25922.65,25989.45,25870.45,25935.15,460878237,32795.1
09-FEB-2026,25888.7,25922.25,25780.9,25867.3,359386006,28449.55